Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card
aztecgoldshirt,Aztec Gold Shirt,"<p>Short sleeve loose shirt.</p>
<p>100% Cotton.</p>
<p>Features two buttoned patch pockets .</p>",Lost Boys Collection,Dress Shirts,"aztec, lbc, lostboyscollection, mens, menswear, shirts, summer",true,Size,Small,,,,,10102,0,shopify,2,deny,manual,160.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/0820eaaac654be6fa1312bb172ee6acdfb8ddbdf.jpeg?v=1396821527,,false
aztecgoldshirt,,,,,,,Size,Medium,,,,,10103,0,shopify,2,deny,manual,160.00,,true,true,,,,
aztecgoldshirt,,,,,,,Size,Large,,,,,10104,0,shopify,0,deny,manual,160.00,,true,true,,,,
aztecgoldshirt,,,,,,,Size,Extra Large,,,,,10105,0,shopify,1,deny,manual,160.00,,true,true,,,,
aztecsunshirt,Aztec Sun Shirt,"<p>Long sleeve fitted shirt.</p>
<p>100% Linen</p>
<p>Features button down collar, one jet pocket and contrast lining.</p>",Lost Boys Collection,Dress Shirts,"aztec, lbc, lostboyscollection, mens, menswear, shirts",true,Size,Small,,,,,10106,0,shopify,1,deny,manual,195.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/545b76e867a8dd70296a53d0ed75d7f4393b3c5d.jpeg?v=1396821530,,false
aztecsunshirt,,,,,,,Size,Medium,,,,,10107,0,shopify,1,deny,manual,195.00,,true,true,,,,
aztecsunshirt,,,,,,,Size,Large,,,,,10108,0,shopify,1,deny,manual,195.00,,true,true,,,,
aztecsunshirt,,,,,,,Size,Extra Large,,,,,10109,0,shopify,1,deny,manual,195.00,,true,true,,,,
azul5panel,Azul 5 Panel,"<div style=""margin: 0px; padding: 0px; border: 0px; font-family: Helvetica; font-size: 12px; vertical-align: baseline;"">&bull; Adjustable leather strap with metal buckle.&nbsp;</div>
<div style=""margin: 0px; padding: 0px; border: 0px; font-family: Helvetica; font-size: 12px; vertical-align: baseline;"">&bull; Brass eyelets.&nbsp;</div>
<div style=""margin: 0px; padding: 0px; border: 0px; font-family: Helvetica; font-size: 12px; vertical-align: baseline;"">&bull; Fully fused fabric to ensure the shape.</div>
<div style=""margin: 0px; padding: 0px; border: 0px; font-family: Helvetica; font-size: 12px; vertical-align: baseline;"">&bull; 100% cotton.</div>
<div style=""margin: 0px; padding: 0px; border: 0px; font-family: Helvetica; font-size: 12px; vertical-align: baseline;"">&nbsp;</div>
<div style=""margin: 0px; padding: 0px; border: 0px; font-family: Helvetica; font-size: 12px; vertical-align: baseline;""><span style=""margin: 0px; padding: 0px; border: 0px; font-family: inherit; font-size: inherit; font-style: inherit; font-variant: inherit; font-weight: inherit; line-height: inherit; vertical-align: baseline;"">NOTE:</span>&nbsp;Patterns vary on each hat.</div>",Lots of Spirit,Headwear,"5 Panel, hats, headwear, LOS, paisley",true,Title,Default,,,,,10773,0,shopify,3,deny,manual,49.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/59eace5404d0695f224682d3a434f2229eb22ac7.jpeg?v=1396821532,,false
badgeraglantee,Badge Raglan Tee,"<p><span style=""color: #333333; font-family: Georgia, 'Times New Roman', 'Bitstream Charter', Times, serif; font-size: 13px; line-height: 19px;"">NOMADS 2013</span></p>
<p><span style=""color: #333333; font-family: Georgia, 'Times New Roman', 'Bitstream Charter', Times, serif; font-size: 13px; line-height: 19px;"">Featuring a lower cut neckline and black sleeves on an asphalt marle tee.</span></p>
<p><span style=""color: #333333; font-family: Georgia, 'Times New Roman', 'Bitstream Charter', Times, serif; font-size: 13px; line-height: 19px;"">Designed by Blake Gordon. Proudly designed and printed in New Zealand.</span></p>
<p><span style=""color: #333333; font-family: Georgia, 'Times New Roman', 'Bitstream Charter', Times, serif; font-size: 13px; line-height: 19px;"">&bull; 100% Cotton</span><br style=""color: #333333; font-family: Georgia, 'Times New Roman', 'Bitstream Charter', Times, serif; font-size: 13px; line-height: 19px;"" /><span style=""color: #333333; font-family: Georgia, 'Times New Roman', 'Bitstream Charter', Times, serif; font-size: 13px; line-height: 19px;"">&bull; Fabric pre-shrunk to minimise shrinkage</span></p>",Stay True,T-Shirts,"nomads2013, staytrue",true,Size,Medium,,,,,10002,0,shopify,5,deny,manual,19.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/53f48d7bdf82ec95b4c5d296d8ac85e21e945c5d_3067f3c3-4084-4b77-b025-b1af61c3ced2.jpeg?v=1396821533,,false
badgeraglantee,,,,,,,Size,Large,,,,,10003,0,shopify,6,deny,manual,19.00,,true,true,,,,
badgeraglantee,,,,,,,Size,XL,,,,,10004,0,shopify,4,deny,manual,19.00,,true,true,,,,
badgeraglantee,,,,,,,Size,Small,,,,,10000,0,shopify,1,deny,manual,49.90,,true,true,,,,
bearcandle,Bear Candle,"<p style=""margin: 0px 0px 11px; padding: 0px; border: 0px none; vertical-align: baseline; outline: 0px; font-size: 12px; color: #696969; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 16px;"">Handmade Bear shaped soy candle with a light french vanilla scent</p>
<p style=""margin: 0px 0px 11px; padding: 0px; border: 0px none; vertical-align: baseline; outline: 0px; font-size: 12px; color: #696969; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 16px;"">100% vegan &amp; eco friendly&nbsp;<br style=""margin: 0px; padding: 0px; border: 0px none; vertical-align: baseline; background-color: transparent; outline: 0px;"" />soy wax with vegetable based colours and scent&nbsp;<br style=""margin: 0px; padding: 0px; border: 0px none; vertical-align: baseline; background-color: transparent; outline: 0px;"" />Candle holder recommended for burning</p>",Young Pilgrims Jewellery,Candles,"Bear, candles, soy, wax, youngpilgrims, YPJ",true,Title,Default,,,,,10698,0,shopify,1,deny,manual,15.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/14fef6addc546b041eca35a05f3dc776494ae0a1.jpeg?v=1396821535,,false
beigepicniccap,Beige Picnic Cap,"<p class=""p1"">We've contrasted the beige check pattern, with a reverse navy check upper bill - yet maintained the beige for the under bill. All of this culminates into a pretty spectacular hat.</p>
<p class=""p1""><span class=""s1"">&equiv;</span> 100% cotton <br /> <span class=""s1"">&equiv;</span> Fused lining <br /> <span class=""s1"">&equiv;</span> Brass Eyelets <br /> <span class=""s1"">&equiv;</span> Premium leather badge embossed with the Logical Eye <br /> <span class=""s1"">&equiv;</span> Leather back-strap with brass buckle <br /> <span class=""s1"">&equiv;</span> Constructed by hand in New Zealand.</p>",The Lucid Collective,Headwear,"5 Panel, caps, hats, headwear, lucid, thelucidcollective",true,Title,Default,,,,,10494,0,shopify,1,deny,manual,79.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/dd4ad44657a60e1c60dc019dbea2e1e04beb5cf2.jpeg?v=1396821537,,false
biglovering,Big Love Ring,"<p><span style=""color: #696969; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 12px; line-height: 16.799999237060547px;"">Large heart stud on an adjustable ring shank</span></p>",Young Pilgrims Jewellery,Jewellery,"hearts, jewellery, ring, youngpilgrims, YPJ",true,Title,Default,,,,,11016,0,shopify,1,deny,manual,15.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/b8c30026f0f93dd81ced2f46006bd94282037766.jpeg?v=1396821538,,false
birdskullring,Bird Skull Ring,"<p><span style=""color: #696969; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 12px; line-height: 16px; text-align: left;"">Long Tibetan silver bird skull charm on an adjustable ring shank.</span></p>
<p><span style=""color: #696969; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 12px; line-height: 16px; text-align: left;"">NOTE: Sits along your finger</span></p>",Young Pilgrims Jewellery,Jewellery,"jewellery, ladies, skull, youngpilgrims, YPJ",true,Title,Default,,,,,10128,0,shopify,0,deny,manual,20.00,,true,true,,http://cdn.shopify.com/s/files/1/0421/6877/products/cc647b5a068ecdd1036179bc845aed28fe939506.jpeg?v=1396821540,,false
